Year,Month,Lond,Latd,School,Bet_cp,Skj_cp,Yft_cp,Sum_cp,Chla,SSHA,SST
1998 ,5 ,160.5 ,-2.5 ,2.0 ,0.0300 ,34.7300 ,1.3600 ,36.1200 ,0.1202 ,0.1647 ,29.2292 
1998 ,5 ,157.5 ,-2.5 ,2.7 ,0.4500 ,34.6333 ,3.5633 ,38.6467 ,0.0835 ,2.3800 ,29.4917 
1998 ,5 ,162.5 ,-0.5 ,1.0 ,0.4500 ,34.5300 ,19.4700 ,54.4500 ,0.2026 ,-7.7324 ,27.8800 
1998 ,5 ,161.5 ,-1.5 ,2.0 ,0.1050 ,34.4950 ,4.2000 ,38.8000 ,0.1579 ,-10.4430 ,28.7950 
1998 ,5 ,160.5 ,-4.5 ,2.0 ,0.2200 ,34.2650 ,0.9450 ,35.4300 ,0.0612 ,-0.5480 ,29.2550 
1998 ,8 ,174.5 ,3.5 ,2.0 ,0.2650 ,34.1550 ,2.4100 ,36.8300 ,0.1427 ,1.4225 ,28.5958 
1998 ,5 ,161.5 ,-3.5 ,3.0 ,1.7400 ,34.0600 ,7.5500 ,43.3400 ,0.0747 ,-0.9291 ,29.2208 
1998 ,5 ,154.5 ,-6.5 ,2.0 ,0.0500 ,34.0600 ,2.1200 ,36.2300 ,0.1140 ,-10.5204 ,29.7086 
1998 ,1 ,157.5 ,-2.5 ,4.0 ,0.9167 ,33.7967 ,3.6567 ,38.3633 ,0.0865 ,2.9222 ,29.2636 
1998 ,6 ,164.5 ,-6.5 ,3.0 ,0.2100 ,33.7867 ,0.9467 ,34.9400 ,0.1044 ,-0.3400 ,29.2458 
1998 ,9 ,171.5 ,2.5 ,2.0 ,0.7250 ,33.7850 ,3.1400 ,37.6450 ,0.1527 ,-2.3542 ,28.6083 
1998 ,1 ,154.5 ,-2.5 ,2.0 ,0.6900 ,33.4650 ,8.5850 ,42.7350 ,0.0982 ,3.4510 ,28.9917 
1998 ,9 ,175.5 ,4.5 ,3.3 ,0.0250 ,33.0875 ,1.0775 ,34.1900 ,0.1253 ,3.3750 ,29.2080 
1998 ,6 ,161.5 ,-1.5 ,2.0 ,0.1200 ,33.0200 ,0.8850 ,34.0300 ,0.1569 ,-6.9804 ,29.1700 
1998 ,5 ,156.5 ,-2.5 ,2.5 ,0.4150 ,32.8800 ,1.3200 ,34.6100 ,0.0700 ,-11.9033 ,29.6292 
1998 ,2 ,169.5 ,-4.5 ,2.5 ,0.0100 ,32.8600 ,0.4650 ,33.3350 ,0.1091 ,-3.7195 ,28.3389 
1998 ,3 ,150.5 ,-6.5 ,1.0 ,0.7400 ,32.5200 ,31.7800 ,65.0400 ,0.1480 ,4.4500 ,29.1808 
1998 ,10 ,168.5 ,1.5 ,1.0 ,1.0500 ,32.4400 ,44.8500 ,78.3400 ,0.2128 ,-7.3944 ,27.8280 
1998 ,3 ,146.5 ,-1.5 ,2.0 ,0.3500 ,32.3800 ,14.8900 ,47.6200 ,0.1169 ,12.1313 ,29.6152 
1998 ,10 ,155.5 ,2.5 ,3.3 ,0.0133 ,32.3133 ,0.5367 ,32.8600 ,0.1073 ,0.2917 ,29.7500 
1998 ,8 ,176.5 ,5.5 ,3.0 ,0.0140 ,32.0200 ,0.6420 ,32.6780 ,0.1299 ,1.3118 ,28.8917 
1998 ,5 ,164.5 ,-4.5 ,2.0 ,0.4350 ,31.9800 ,1.8900 ,34.3050 ,0.0650 ,10.7767 ,29.1650 
1998 ,9 ,171.5 ,3.5 ,3.0 ,0.0560 ,31.9560 ,0.3860 ,32.3980 ,0.1246 ,0.0818 ,28.9292 
1998 ,7 ,161.5 ,-0.5 ,2.0 ,1.3650 ,31.9150 ,10.6050 ,43.8850 ,0.1451 ,-2.6702 ,29.0750 
1998 ,1 ,153.5 ,-1.5 ,3.0 ,1.1900 ,31.8500 ,5.1800 ,38.2200 ,0.0900 ,-12.5267 ,29.1350 
1998 ,5 ,157.5 ,-5.5 ,2.8 ,0.0125 ,31.5650 ,0.2250 ,31.8025 ,0.1073 ,-5.7168 ,29.4458 
1998 ,11 ,168.5 ,5.5 ,3.0 ,0.3700 ,31.3300 ,1.6300 ,33.3300 ,0.1094 ,-2.3286 ,28.2310 
1998 ,12 ,162.5 ,-1.5 ,1.0 ,0.6700 ,30.8200 ,28.6100 ,60.0900 ,0.0820 ,-0.7245 ,29.2620 
1998 ,9 ,177.5 ,3.5 ,2.5 ,0.1050 ,30.7450 ,4.4700 ,35.3200 ,0.1470 ,1.3590 ,28.6542 
1998 ,10 ,168.5 ,2.5 ,3.3 ,0.1867 ,30.7200 ,7.9367 ,38.8433 ,0.1716 ,-6.0687 ,28.5050 
1998 ,1 ,160.5 ,-0.5 ,2.5 ,0.8900 ,30.7000 ,17.3850 ,48.9750 ,0.1062 ,-11.5071 ,28.9750 
1998 ,6 ,162.5 ,-1.5 ,3.0 ,0.0360 ,30.4500 ,0.9400 ,31.4260 ,0.1745 ,0.3048 ,29.0160 
1998 ,7 ,171.5 ,2.5 ,3.0 ,0.8100 ,30.4300 ,3.5300 ,34.7800 ,0.2000 ,-7.1832 ,28.7125 
1998 ,12 ,164.5 ,-0.5 ,2.0 ,1.1333 ,30.4000 ,26.3200 ,57.8533 ,0.1298 ,2.8195 ,28.5542 
1998 ,10 ,171.5 ,3.5 ,1.0 ,0.2400 ,30.3800 ,10.1600 ,40.7800 ,0.1584 ,-2.5337 ,28.4167 
1998 ,9 ,175.5 ,3.5 ,2.0 ,0.1700 ,30.1250 ,7.3500 ,37.6450 ,0.1399 ,3.2115 ,28.9700 
1998 ,9 ,175.5 ,1.5 ,1.0 ,0.1400 ,30.0600 ,6.1800 ,36.3900 ,0.1883 ,0.0471 ,28.0980 
1998 ,1 ,171.5 ,-5.5 ,3.0 ,3.7400 ,30.0000 ,16.2600 ,50.0000 ,0.0913 ,-9.7107 ,29.6042 
1998 ,10 ,169.5 ,2.5 ,2.0 ,0.3250 ,29.8000 ,13.8700 ,43.9900 ,0.1807 ,0.5035 ,28.2458 
1998 ,12 ,163.5 ,1.5 ,2.0 ,8.3600 ,29.7550 ,39.8000 ,77.9100 ,0.1362 ,2.2657 ,28.8000 
1998 ,9 ,173.5 ,3.5 ,2.5 ,0.0750 ,29.5500 ,3.3100 ,32.9400 ,0.1149 ,-1.7320 ,29.0443 
1998 ,4 ,162.5 ,-4.5 ,2.0 ,0.0450 ,29.2000 ,2.0000 ,31.2500 ,0.0736 ,-2.6193 ,29.1420 
1998 ,1 ,169.5 ,-5.5 ,3.0 ,1.5600 ,29.1700 ,6.7700 ,37.5000 ,0.1157 ,7.1471 ,29.4833 
1998 ,3 ,159.5 ,-6.5 ,2.0 ,0.0150 ,29.0700 ,0.5700 ,29.6500 ,0.1503 ,-5.2915 ,28.1500 
1998 ,6 ,163.5 ,-1.5 ,3.0 ,0.2300 ,29.0000 ,9.7700 ,39.0000 ,0.1761 ,5.8667 ,29.1450 
1998 ,5 ,160.5 ,-5.5 ,3.0 ,0.1400 ,28.9800 ,0.6033 ,29.7233 ,0.0758 ,-4.5978 ,28.9917 
1998 ,11 ,164.5 ,-1.5 ,1.0 ,0.5300 ,28.9000 ,22.5900 ,52.0200 ,0.1447 ,-3.6582 ,28.8650 
1998 ,5 ,157.5 ,-6.5 ,2.0 ,0.2150 ,28.8050 ,1.0200 ,30.0350 ,0.2025 ,-13.2813 ,29.1000 
1998 ,8 ,177.5 ,3.5 ,3.0 ,0.0240 ,28.7680 ,0.5860 ,29.3780 ,0.1545 ,-2.0068 ,28.4750 
1998 ,5 ,163.5 ,-0.5 ,1.0 ,0.1600 ,28.6900 ,7.0100 ,35.8600 ,0.2174 ,-2.0526 ,27.6625 
1998 ,1 ,150.5 ,-0.5 ,4.5 ,0.5750 ,28.6650 ,2.6100 ,31.8500 ,0.0902 ,-7.7878 ,28.6875 
1998 ,2 ,146.5 ,2.5 ,3.0 ,0.4500 ,28.5700 ,1.9400 ,30.9500 ,0.1139 ,-9.5441 ,28.2100 
